127.0.0.1 - - [14/Sep/2022:21:02:44 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:02:45 +0700] "GET /cassava_mvc/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 77058
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/images/avatar/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/images/avatar/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/images/avatar/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/images/avatar/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/js/gleek.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/js/settings.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/js/styleSwitcher.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/js/custom.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/plugins/tables/js/datatable/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/plugins/tables/js/datatable-init/datatable-basic.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/plugins/tables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/cryptocoins/css/cryptocoins.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/cryptocoins/css/cryptocoins-colors.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/weather-icons/css/weather-icons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/linea-icons/linea.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/ionicons/css/ionicons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/themify-icons/themify-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/flag-icon-css/flag-icon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/pe-icon-set-weather/css/pe-icon-set-weather.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/plugins/metismenu/css/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/plugins/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/plugins/bootstrap-select/dist/css/bootstrap-select.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/images/user/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/plugins/common/common.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/material-design-iconic-font/materialdesignicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/font-awesome/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/simple-line-icons/fonts/Simple-Line-Icons4c82.ttf?-i3a2kk HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:24 +0700] "GET /cassava_mvc/resources/icons/material-design-iconic-font/fonts/materialdesignicons-webfont.woff2?v=2.4.85 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:27 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32098
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:27 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:27 +0700] "GET /cassava_mvc/resources/css/image-uploader.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:27 +0700] "GET /cassava_mvc/resources/js/image-uploader.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:30 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 277466
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:30 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:30 +0700] "GET /cassava_mvc/resources/fonts/iu.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:36 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:36 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:03:36 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:20 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:20 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:21 +0700] "GET /cassava_mvc/resources/images/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:26 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 239930
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:26 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:29 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 263470
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:29 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:30 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32082
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:30 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:32 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:32 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:37 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 438855
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:37 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:41 +0700] "GET /cassava_mvc/variety/varietyDelete/53 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:41 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 218481
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:04:41 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:05:15 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 242021
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:05:15 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:05:17 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32092
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:05:17 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:05:20 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:05:20 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:18 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 43096
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:18 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:19 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 43096
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:19 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:21 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 242021
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:21 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:23 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 242021
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:23 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:25 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32158
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:25 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:32 +0700] "POST /cassava_mvc/variety/varietyUpdate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:32 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 218481
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:32 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:34 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32158
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:34 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:39 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 242021
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:08:39 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:09:07 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32158
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:09:07 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:27 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 43096
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:27 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:29 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 218481
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:29 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:31 +0700] "GET /cassava_mvc/variety/varietyCreate/ HTTP/1.1" 200 32020
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:31 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:51 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:51 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 263470
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:51 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:53 +0700] "GET /cassava_mvc/variety/varietyEdit/54 HTTP/1.1" 200 32163
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:53 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:56 +0700] "GET /cassava_mvc/variety/varietyImageEdit/54 HTTP/1.1" 200 246096
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:56 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:00 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:00 +0700] "GET /cassava_mvc/variety/varietyImageEdit/54 HTTP/1.1" 200 442675
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:00 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:03 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:03 +0700] "GET /cassava_mvc/variety/varietyImageEdit/54 HTTP/1.1" 200 443367
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:03 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:09 +0700] "GET /cassava_mvc/variety/varietyImageDelete/46 HTTP/1.1" 302 -
