127.0.0.1 - - [02/Oct/2022:13:59:26 +0700] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:27 +0700] "GET /cassava_mvc/ HTTP/1.1" 200 2057
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:34 +0700] "GET /cassava_mvc/home HTTP/1.1" 200 21340
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:34 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:34 +0700] "GET /cassava_mvc/resources/plugins/tables/js/datatable-init/datatable-basic.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:34 +0700] "GET /cassava_mvc/resources/plugins/tables/js/datatable/dataTables.bootstrap4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:34 +0700] "GET /cassava_mvc/resources/plugins/tables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:37 +0700] "GET /cassava_mvc/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:37 +0700] "GET /cassava_mvc/disease/diseaseIndex HTTP/1.1" 200 21918
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:37 +0700] "GET /cassava_mvc/plugins/tables/js/datatable/dataTables.bootstrap4.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:37 +0700] "GET /cassava_mvc/plugins/tables/js/datatable-init/datatable-basic.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:37 +0700] "GET /cassava_mvc/plugins/tables/js/jquery.dataTables.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:40 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:40 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyIndex HTTP/1.1" 200 218716
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:40 +0700] "GET /cassava_mvc/resources/icons/font-awesome/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:43 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyDelete/10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:43 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyIndex HTTP/1.1" 200 21833
0:0:0:0:0:0:0:1 - - [02/Oct/2022:13:59:43 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
